id,list,slug,symbol_name,symbol_url
1,Partito Democratico,partito-democratico,pd.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/pd.jpg
2,+Europa,-europa,europa.png,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/europa.png
3,Azione-Italia Viva-Calenda,azione-italia-viva-calenda,azione-iv.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/azione-iv.jpg
4,Fratelli d'Italia,fratelli-d'italia,fdi.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/fdi.jpg
5,Lega,lega,lega.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/lega.jpg
6,Forza Italia,forza-italia,fi.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/fi.jpg
7,Noi moderati,noi-moderati,noi-moderati.png,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/noi-moderati.png
8,Alleanza Verdi e Sinistra,alleanza-verdi-e-sinistra,alleanza-verdi-e-sinistra.png,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/alleanza-verdi-e-sinistra.png
9,Impegno Civico,impegno-civico,impegno-civico.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/impegno-civico.jpg
10,Movimento 5 Stelle,movimento-5-stelle,m5s.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/m5s.jpg
11,Alternativa Per l'Italia,alternativa-per-l'italia,alternativa-per-l'italia.jpg,https://raw.githubusercontent.com/indecis-it/indecis.it/main/public/symbols/alternativa-per-l'italia.jpg
12,Alternativa,alternativa,,
13,Italexit,italexit,,
14,Italia Sovrana e Popolare,italia-sovrana-e-popolare,,
15,Unione Popolare,unione-popolare,,
